time,ecg_signal
0.0,-0.088
0.002,-0.049
0.004,-0.073
0.006,-0.098
0.008,-0.117
0.01,-0.112
0.012,-0.093
0.014,-0.063
0.016,-0.063
0.018,-0.063
0.02,-0.039
0.022,-0.034
0.024,-0.083
0.026,-0.102
0.028,-0.107
0.03,-0.132
0.032,-0.117
0.034,-0.107
0.036,-0.117
0.038,-0.093
0.04,-0.054
0.042,-0.054
0.044,-0.059
0.046,-0.024
0.048,-0.034
0.05,-0.034
0.052,-0.044
0.054,-0.039
0.056,-0.049
0.058,-0.029
0.06,-0.054
0.062,-0.054
0.064,-0.034
0.066,-0.015
0.068,0.015
0.07,0.005
0.072,-0.034
0.074,-0.034
0.076,-0.068
0.078,-0.059
0.08,0.024
0.082,0.063
0.084,0.024
0.086,-0.029
0.088,-0.049
0.09,-0.049
0.092,-0.054
0.094,-0.005
0.096,-0.01
0.098,-0.039
0.1,-0.01
0.102,0.005
0.104,-0.015
0.106,0.0
0.108,-0.02
0.11,-0.073
0.112,-0.068
0.114,-0.054
0.116,-0.054
0.118,-0.039
0.12,-0.02
0.122,-0.029
0.124,-0.068
0.126,-0.059
0.128,-0.073
0.13,-0.059
0.132,-0.034
0.134,-0.005
0.136,0.02
0.138,0.024
0.14,0.024
0.142,0.059
0.144,0.034
0.146,-0.005
0.148,0.015
0.15,0.0
0.152,-0.039
0.154,-0.01
0.156,0.005
0.158,0.0
0.16,-0.005
0.162,0.02
0.164,-0.005
0.166,-0.034
0.168,-0.034
0.17,-0.02
0.172,0.01
0.174,0.024
0.176,0.024
0.178,0.02
0.18,0.02
0.182,0.01
0.184,0.01
0.186,0.024
0.188,0.039
0.19,-0.02
0.192,-0.034
0.194,-0.024
0.196,-0.02
0.198,-0.02
0.2,0.01
0.202,0.01
0.204,-0.005
0.206,0.01
0.208,0.0
0.21,-0.024
0.212,-0.01
0.214,0.005
0.216,0.0
0.218,0.034
0.22,0.044
0.222,0.073
0.224,0.088
0.226,0.049
0.228,0.034
0.23,0.005
0.232,-0.005
0.234,0.015
0.236,0.054
0.238,0.054
0.24,0.024
0.242,-0.01
0.244,-0.01
0.246,0.034
0.248,0.039
0.25,-0.01
0.252,-0.024
0.254,0.01
0.256,0.063
0.258,0.083
0.26,0.049
0.262,0.039
0.264,0.063
0.266,0.078
0.268,0.049
0.27,-0.005
0.272,0.005
0.274,0.02
0.276,0.039
0.278,0.029
0.28,0.02
0.282,-0.02
0.284,-0.039
0.286,-0.044
0.288,-0.102
0.29,-0.083
0.292,-0.117
0.294,-0.156
0.296,-0.132
0.298,-0.093
0.3,-0.034
0.302,-0.029
0.304,-0.044
0.306,0.024
0.308,0.112
0.31,0.181
0.312,0.342
0.314,0.449
0.316,0.493
0.318,0.566
0.32,0.634
0.322,0.61
0.324,0.551
0.326,0.498
0.328,0.464
0.33,0.4
0.332,0.307
0.334,0.259
0.336,0.268
0.338,0.371
0.34,0.4
0.342,0.332
0.344,0.303
0.346,0.249
0.348,0.166
0.35,0.132
0.352,0.127
0.354,0.146
0.356,0.112
0.358,0.107
0.36,0.137
0.362,0.102
0.364,0.044
0.366,0.015
0.368,0.015
0.37,0.054
0.372,0.088
0.374,0.059
0.376,0.044
0.378,0.029
0.38,0.02
0.382,0.034
0.384,0.039
0.386,0.034
0.388,0.02
0.39,-0.02
0.392,-0.044
0.394,-0.054
