time,ecg_signal
0.0,-0.151
0.002,-0.171
0.004,-0.151
0.006,-0.142
0.008,-0.107
0.01,-0.088
0.012,-0.117
0.014,-0.127
0.016,-0.137
0.018,-0.122
0.02,-0.146
0.022,-0.122
0.024,-0.083
0.026,-0.137
0.028,-0.151
0.03,-0.132
0.032,-0.112
0.034,-0.102
0.036,-0.102
0.038,-0.117
0.04,-0.122
0.042,-0.137
0.044,-0.142
0.046,-0.122
0.048,-0.132
0.05,-0.142
0.052,-0.156
0.054,-0.146
0.056,-0.146
0.058,-0.093
0.06,-0.068
0.062,-0.132
0.064,-0.161
0.066,-0.137
0.068,-0.102
0.07,-0.127
0.072,-0.137
0.074,-0.151
0.076,-0.142
0.078,-0.137
0.08,-0.161
0.082,-0.112
0.084,-0.112
0.086,-0.063
0.088,-0.073
0.09,-0.132
0.092,-0.146
0.094,-0.161
0.096,-0.171
0.098,-0.127
0.1,-0.117
0.102,-0.098
0.104,-0.112
0.106,-0.142
0.108,-0.127
0.11,-0.107
0.112,-0.137
0.114,-0.151
0.116,-0.142
0.118,-0.166
0.12,-0.132
0.122,-0.107
0.124,-0.093
0.126,-0.151
0.128,-0.142
0.13,-0.112
0.132,-0.142
0.134,-0.195
0.136,-0.142
0.138,-0.078
0.14,-0.112
0.142,-0.146
0.144,-0.19
0.146,-0.132
0.148,-0.098
0.15,-0.063
0.152,-0.078
0.154,-0.132
0.156,-0.156
0.158,-0.156
0.16,-0.151
0.162,-0.151
0.164,-0.151
0.166,-0.137
0.168,-0.112
0.17,-0.107
0.172,-0.117
0.174,-0.093
0.176,-0.098
0.178,-0.107
0.18,-0.142
0.182,-0.112
0.184,-0.102
0.186,-0.102
0.188,-0.122
0.19,-0.142
0.192,-0.117
0.194,-0.122
0.196,-0.137
0.198,-0.112
0.2,-0.049
0.202,-0.054
0.204,-0.107
0.206,-0.132
0.208,-0.127
0.21,-0.102
0.212,-0.122
0.214,-0.127
0.216,-0.122
0.218,-0.151
0.22,-0.112
0.222,-0.083
0.224,-0.063
0.226,-0.078
0.228,-0.117
0.23,-0.112
0.232,-0.137
0.234,-0.132
0.236,-0.093
0.238,-0.112
0.24,-0.122
0.242,-0.088
0.244,-0.102
0.246,-0.127
0.248,-0.102
0.25,-0.093
0.252,-0.088
0.254,-0.083
0.256,-0.083
0.258,-0.063
0.26,-0.078
0.262,-0.073
0.264,-0.088
0.266,-0.088
0.268,-0.073
0.27,-0.068
0.272,-0.117
0.274,-0.102
0.276,-0.146
0.278,-0.127
0.28,-0.063
0.282,-0.049
0.284,-0.029
0.286,-0.054
0.288,-0.083
0.29,-0.063
0.292,-0.093
0.294,-0.093
0.296,-0.098
0.298,-0.083
0.3,-0.122
0.302,-0.117
0.304,-0.098
0.306,-0.088
0.308,-0.083
0.31,-0.054
0.312,-0.054
0.314,-0.024
0.316,-0.005
0.318,-0.039
0.32,-0.049
0.322,-0.029
0.324,-0.044
0.326,-0.034
0.328,-0.02
0.33,0.005
0.332,0.015
0.334,0.015
0.336,0.049
0.338,0.073
0.34,0.088
0.342,0.098
0.344,0.063
0.346,0.044
0.348,0.054
0.35,0.049
0.352,0.054
0.354,0.083
0.356,0.093
0.358,0.127
0.36,0.142
0.362,0.137
0.364,0.127
0.366,0.078
0.368,0.034
0.37,0.029
0.372,0.02
0.374,0.034
0.376,0.054
0.378,0.049
0.38,0.059
0.382,0.044
0.384,0.059
0.386,0.049
0.388,-0.005
0.39,-0.015
0.392,-0.039
0.394,-0.059
0.396,-0.068
0.398,-0.088
0.4,-0.068
0.402,-0.083
0.404,-0.093
0.406,-0.078
0.408,-0.044
0.41,0.0
0.412,-0.039
0.414,-0.093
0.416,-0.088
0.418,-0.107
0.42,-0.102
0.422,-0.088
0.424,-0.102
0.426,-0.083
0.428,-0.063
0.43,-0.102
0.432,-0.137
0.434,-0.098
0.436,-0.107
0.438,-0.137
0.44,-0.151
0.442,-0.107
0.444,-0.083
0.446,-0.059
0.448,-0.024
0.45,-0.063
0.452,-0.059
0.454,0.02
0.456,0.127
0.458,0.278
0.46,0.473
0.462,0.639
0.464,0.834
0.466,1.054
0.468,1.298
0.47,1.352
0.472,1.298
0.474,1.137
0.476,0.878
0.478,0.625
0.48,0.4
0.482,0.161
0.484,0.083
0.486,0.102
0.488,0.107
0.49,0.19
0.492,0.185
0.494,0.117
0.496,0.073
0.498,0.059
0.5,0.02
0.502,-0.005
0.504,-0.044
0.506,-0.029
0.508,-0.044
0.51,-0.044
0.512,-0.02
0.514,-0.034
0.516,-0.015
0.518,0.02
0.52,-0.015
0.522,-0.01
0.524,-0.044
0.526,-0.024
0.528,0.0
0.53,-0.024
0.532,-0.034
0.534,-0.015
0.536,-0.005
0.538,0.049
0.54,0.044
0.542,0.039
0.544,0.049
0.546,0.039
0.548,-0.01
0.55,-0.024
0.552,0.0
0.554,-0.01
0.556,-0.01
0.558,0.02
0.56,0.024
0.562,0.015
0.564,0.01
0.566,0.034
0.568,0.015
0.57,0.044
0.572,0.059
0.574,0.024
0.576,0.024
0.578,0.015
0.58,-0.015
0.582,-0.01
0.584,0.01
0.586,0.107
0.588,0.146
0.59,0.102
0.592,0.054
0.594,0.02
0.596,0.063
0.598,0.088
0.6,0.088
0.602,0.093
0.604,0.073
0.606,0.083
0.608,0.107
0.61,0.098
0.612,0.137
0.614,0.146
0.616,0.098
0.618,0.161
0.62,0.166
0.622,0.122
0.624,0.132
0.626,0.171
0.628,0.19
0.63,0.166
0.632,0.127
0.634,0.161
0.636,0.215
0.638,0.2
0.64,0.224
0.642,0.224
0.644,0.22
0.646,0.239
0.648,0.229
0.65,0.244
0.652,0.254
0.654,0.264
0.656,0.278
0.658,0.322
0.66,0.366
0.662,0.361
0.664,0.351
0.666,0.366
0.668,0.376
0.67,0.356
0.672,0.366
0.674,0.381
0.676,0.425
0.678,0.41
0.68,0.395
0.682,0.434
0.684,0.464
0.686,0.468
0.688,0.532
0.69,0.551
0.692,0.547
0.694,0.542
0.696,0.508
0.698,0.556
0.7,0.566
0.702,0.561
0.704,0.571
0.706,0.566
0.708,0.561
0.71,0.59
0.712,0.59
0.714,0.571
0.716,0.561
0.718,0.556
0.72,0.556
0.722,0.522
0.724,0.537
0.726,0.522
0.728,0.503
0.73,0.478
0.732,0.464
0.734,0.454
0.736,0.415
0.738,0.395
0.74,0.361
0.742,0.298
0.744,0.268
0.746,0.278
0.748,0.234
0.75,0.205
0.752,0.21
0.754,0.185
0.756,0.19
0.758,0.171
0.76,0.107
0.762,0.127
0.764,0.102
0.766,0.088
0.768,0.063
0.77,0.039
0.772,0.039
0.774,0.024
0.776,-0.01
0.778,0.01
0.78,0.029
0.782,0.024
0.784,0.029
0.786,0.005
0.788,-0.01
0.79,-0.015
0.792,-0.02
0.794,-0.044
0.796,-0.02
0.798,0.015
0.8,-0.005
0.802,-0.039
0.804,-0.015
0.806,-0.01
0.808,-0.024
0.81,-0.02
0.812,-0.005
0.814,0.005
0.816,-0.024
0.818,-0.024
0.82,-0.02
0.822,-0.054
0.824,-0.054
0.826,-0.068
0.828,-0.049
0.83,0.01
0.832,0.024
0.834,0.024
0.836,0.024
0.838,0.015
0.84,-0.005
0.842,-0.005
0.844,0.0
0.846,-0.01
0.848,0.005
0.85,0.0
0.852,-0.005
0.854,-0.029
0.856,-0.044
0.858,-0.005
0.86,-0.015
0.862,-0.02
0.864,0.005
0.866,0.024
0.868,0.024
0.87,-0.034
0.872,-0.024
0.874,0.005
0.876,-0.015
0.878,-0.029
0.88,-0.029
0.882,-0.01
0.884,0.015
0.886,-0.01
0.888,-0.02
0.89,0.015
0.892,0.01
0.894,0.01
0.896,0.015
0.898,0.005
0.9,0.005
0.902,-0.015
0.904,-0.044
0.906,-0.098
0.908,-0.078
0.91,-0.049
0.912,0.005
0.914,0.015
0.916,-0.024
0.918,-0.034
0.92,-0.024
0.922,-0.024
0.924,-0.039
0.926,-0.059
0.928,-0.054
0.93,-0.044
0.932,-0.005
0.934,-0.024
0.936,-0.039
0.938,-0.054
0.94,-0.068
0.942,-0.049
0.944,-0.054
0.946,-0.063
0.948,-0.044
0.95,-0.044
0.952,-0.039
0.954,-0.083
0.956,-0.063
0.958,0.024
0.96,-0.044
