time,ecg_signal
0.0,-0.151
0.002,-0.171
0.004,-0.151
0.006,-0.142
0.008,-0.107
0.01,-0.088
0.012,-0.117
0.014,-0.127
0.016,-0.137
0.018,-0.132
0.02,-0.146
0.022,-0.151
0.024,-0.142
0.026,-0.117
0.028,-0.093
0.03,-0.083
0.032,-0.088
0.034,-0.122
0.036,-0.137
0.038,-0.146
0.04,-0.146
0.042,-0.146
0.044,-0.151
0.046,-0.132
0.048,-0.117
0.05,-0.098
0.052,-0.088
0.054,-0.098
0.056,-0.127
0.058,-0.137
0.06,-0.156
0.062,-0.156
0.064,-0.156
0.066,-0.142
0.068,-0.132
0.07,-0.107
0.072,-0.088
0.074,-0.098
0.076,-0.117
0.078,-0.132
0.08,-0.151
0.082,-0.161
0.084,-0.156
0.086,-0.146
0.088,-0.127
0.09,-0.112
0.092,-0.098
0.094,-0.098
0.096,-0.117
0.098,-0.132
0.1,-0.146
0.102,-0.161
0.104,-0.166
0.106,-0.156
0.108,-0.146
0.11,-0.132
0.112,-0.112
0.114,-0.098
0.116,-0.103
0.118,-0.122
0.12,-0.137
0.122,-0.151
0.124,-0.166
0.126,-0.171
0.128,-0.166
0.13,-0.151
0.132,-0.137
0.134,-0.117
0.136,-0.103
0.138,-0.103
0.14,-0.122
0.142,-0.137
0.144,-0.151
0.146,-0.166
0.148,-0.176
0.15,-0.176
0.152,-0.166
0.154,-0.151
0.156,-0.137
0.158,-0.122
0.16,-0.107
0.162,-0.107
0.164,-0.122
0.166,-0.137
0.168,-0.151
0.17,-0.166
0.172,-0.176
0.174,-0.181
0.176,-0.176
0.178,-0.166
0.18,-0.151
0.182,-0.132
0.184,-0.117
0.186,-0.107
0.188,-0.112
0.19,-0.132
0.192,-0.146
0.194,-0.161
0.196,-0.176
0.198,-0.186
0.2,-0.186
0.202,-0.181
0.204,-0.166
0.206,-0.146
0.208,-0.132
0.21,-0.117
0.212,-0.112
0.214,-0.122
0.216,-0.142
0.218,-0.156
0.22,-0.176
0.222,-0.191
0.224,-0.201
0.226,-0.201
0.228,-0.191
0.23,-0.176
0.232,-0.156
0.234,-0.142
0.236,-0.122
0.238,-0.112
0.24,-0.122
0.242,-0.146
0.244,-0.166
0.246,-0.186
0.248,-0.205
0.25,-0.22
0.252,-0.22
0.254,-0.205
0.256,-0.186
0.258,-0.166
0.26,-0.146
0.262,-0.127
0.264,-0.117
0.266,-0.127
0.268,-0.151
0.27,-0.176
0.272,-0.201
0.274,-0.225
0.276,-0.244
0.278,-0.244
0.28,-0.23
0.282,-0.205
0.284,-0.181
0.286,-0.156
0.288,-0.137
0.29,-0.127
0.292,-0.137
0.294,-0.161
0.296,-0.186
0.298,-0.215
0.3,-0.244
0.302,-0.269
0.304,-0.274
0.306,-0.259
0.308,-0.23
0.31,-0.2
0.312,-0.171
0.314,-0.146
0.316,-0.132
0.318,-0.137
0.32,-0.166
0.322,-0.2
0.324,-0.235
0.326,-0.269
0.328,-0.298
0.33,-0.303
0.332,-0.284
0.334,-0.249
0.336,-0.215
0.338,-0.181
0.34,-0.151
0.342,-0.137
0.344,-0.142
0.346,-0.176
0.348,-0.215
0.35,-0.254
0.352,-0.293
0.354,-0.332
0.356,-0.337
0.358,-0.318
0.36,-0.279
0.362,-0.235
0.364,-0.2
0.366,-0.166
0.368,-0.146
0.37,-0.146
0.372,-0.176
0.374,-0.22
0.376,-0.269
0.378,-0.318
0.38,-0.361
0.382,-0.371
0.384,-0.347
0.386,-0.298
0.388,-0.249
0.39,-0.205
0.392,-0.171
0.394,-0.151
0.396,-0.151
0.398,-0.186
0.4,-0.235
0.402,-0.293
0.404,-0.347
0.406,-0.396
0.408,-0.41
0.41,-0.381
0.412,-0.327
0.414,-0.269
0.416,-0.22
0.418,-0.181
0.42,-0.156
0.422,-0.156
0.424,-0.191
0.426,-0.249
0.428,-0.313
0.43,-0.376
0.432,-0.435
0.434,-0.459
0.436,-0.425
0.438,-0.361
0.44,-0.293
0.442,-0.235
0.444,-0.191
0.446,-0.161
0.448,-0.161
0.45,-0.2
0.452,-0.264
0.454,-0.337
0.456,-0.41
0.458,-0.479
0.46,-0.508
0.462,-0.479
0.464,-0.405
0.466,-0.322
0.468,-0.254
0.47,-0.2
0.472,-0.166
0.474,-0.166
0.476,-0.205
0.478,-0.279
0.48,-0.361
0.482,-0.444
0.484,-0.527
0.486,-0.566
0.488,-0.537
0.49,-0.449
0.492,-0.351
0.494,-0.274
0.496,-0.215
0.498,-0.176
0.5,-0.176
0.502,-0.22
0.504,-0.298
0.506,-0.39
0.508,-0.488
0.51,-0.576
0.512,-0.625
0.514,-0.596
0.516,-0.498
0.518,-0.381
0.52,-0.293
0.522,-0.225
0.524,-0.181
0.526,-0.181
0.528,-0.229
0.53,-0.317
0.532,-0.425
0.534,-0.537
0.536,-0.635
0.538,-0.693
0.54,-0.674
0.542,-0.566
0.544,-0.425
0.546,-0.317
0.548,-0.244
0.55,-0.191
0.552,-0.186
0.554,-0.235
0.556,-0.337
0.558,-0.459
0.56,-0.581
0.562,-0.693
0.564,-0.757
0.566,-0.747
0.568,-0.635
0.57,-0.479
0.572,-0.351
0.574,-0.264
0.576,-0.2
0.578,-0.191
0.58,-0.244
0.582,-0.356
0.584,-0.498
0.586,-0.635
0.588,-0.757
0.59,-0.83
0.592,-0.83
0.594,-0.713
0.596,-0.542
0.598,-0.39
0.6,-0.288
0.602,-0.215
0.604,-0.2
0.606,-0.254
0.608,-0.376
0.61,-0.537
0.612,-0.684
0.614,-0.82
0.616,-0.906
0.618,-0.911
0.62,-0.796
0.622,-0.611
0.624,-0.435
0.626,-0.313
0.628,-0.229
0.63,-0.2
0.632,-0.254
0.634,-0.39
0.636,-0.566
0.638,-0.728
0.64,-0.87
0.642,-0.967
0.644,-0.977
0.646,-0.87
0.648,-0.674
0.65,-0.479
0.652,-0.337
0.654,-0.249
0.656,-0.205
0.658,-0.254
0.66,-0.4
0.662,-0.591
0.664,-0.767
0.666,-0.916
0.668,-1.018
0.67,-1.038
0.672,-0.94
0.674,-0.733
0.676,-0.517
0.678,-0.361
0.68,-0.264
0.682,-0.21
0.684,-0.254
0.686,-0.41
0.688,-0.611
0.69,-0.806
0.692,-0.958
0.694,-1.067
0.696,-1.096
0.698,-1.008
0.7,-0.791
0.702,-0.556
0.704,-0.39
0.706,-0.284
0.708,-0.22
0.71,-0.254
0.712,-0.42
0.714,-0.635
0.716,-0.84
0.718,-0.997
0.72,-1.111
0.722,-1.155
0.724,-1.077
0.726,-0.85
0.728,-0.596
0.73,-0.42
0.732,-0.303
0.734,-0.229
0.736,-0.254
0.738,-0.425
0.74,-0.654
0.742,-0.87
0.744,-1.033
0.746,-1.155
0.748,-1.204
0.75,-1.135
0.752,-0.911
0.754,-0.64
0.756,-0.449
0.758,-0.322
0.76,-0.244
0.762,-0.254
0.764,-0.425
0.766,-0.669
0.768,-0.897
0.77,-1.067
0.772,-1.194
0.774,-1.258
0.776,-1.194
0.778,-0.972
0.78,-0.684
0.782,-0.479
0.784,-0.342
0.786,-0.254
0.788,-0.254
0.79,-0.42
0.792,-0.679
0.794,-0.921
0.796,-1.096
0.798,-1.228
0.8,-1.302
0.802,-1.248
0.804,-1.033
0.806,-0.723
0.808,-0.508
0.81,-0.361
0.812,-0.264
0.814,-0.254
0.816,-0.415
0.818,-0.684
0.82,-0.94
0.822,-1.125
0.824,-1.263
0.826,-1.341
0.828,-1.297
0.83,-1.091
0.832,-0.762
0.834,-0.537
0.836,-0.376
0.838,-0.274
0.84,-0.254
0.842,-0.41
0.844,-0.684
0.846,-0.958
0.848,-1.15
0.85,-1.292
0.852,-1.385
0.854,-1.346
0.856,-1.145
0.858,-0.801
0.86,-0.566
0.862,-0.39
0.864,-0.284
0.866,-0.254
0.868,-0.4
0.87,-0.684
0.872,-0.972
0.874,-1.17
0.876,-1.321
0.878,-1.424
0.88,-1.39
0.882,-1.194
0.884,-0.84
0.886,-0.591
0.888,-0.405
0.89,-0.293
0.892,-0.254
0.894,-0.39
0.896,-0.679
0.898,-0.982
0.9,-1.189
0.902,-1.346
0.904,-1.463
0.906,-1.434
0.908,-1.243
0.91,-0.875
0.912,-0.616
0.914,-0.42
0.916,-0.303
